"species","lon","lat"
"Pilostigma Thonigilii/Monkey Bread",29.8300417,-16.5855059
"Waterberry",29.7939065,-16.5465969
"Pilostigma Thonigilii/Monkey Bread",29.8364648,-16.5593445
"Waterberry",29.8388289,-16.5572548
"Acacia Polycantha",29.7040188,-16.3886648
"Acacia Polycantha",29.703868,-16.3882116
"Pilostigma Thonigilii/Monkey Bread",29.7038695,-16.3881731
"Acacia Siebriana",29.58901,-16.4302833
"Acacia Polycantha",29.6685672,-16.337527
"Pilostigma Thonigilii/Monkey Bread",29.6685672,-16.337527
"Acacia Polycantha",29.5894167,-16.430505
"Acacia Siebriana",29.5893733,-16.430595
"Acacia Siebriana",29.5895883,-16.4303316
"Acacia Siebriana",29.589555,-16.4303133
"Kigelia Africana",29.6685672,-16.337527
"Acacia Polycantha",29.6685672,-16.337527
"Kigelia Africana",29.5918033,-16.4313883
"Pilostigma Thonigilii/Monkey Bread",29.5924933,-16.43149
"Pilostigma Thonigilii/Monkey Bread",29.5916817,-16.4334366
"Pilostigma Thonigilii/Monkey Bread",29.591665,-16.4334616
"Acacia Siebriana",29.5909933,-16.4336666
"Pilostigma Thonigilii/Monkey Bread",29.5896367,-16.4349833
"Kigelia Africana",29.3981367,-16.9054598
"Pilostigma Thonigilii/Monkey Bread",29.1137332,-16.8974464
"Pilostigma Thonigilii/Monkey Bread",29.5938631,-16.457781
"Pilostigma Thonigilii/Monkey Bread",29.5938595,-16.4577791
"Acacia Galpinii",29.4182899,-16.8575786
"Acacia Polycantha",29.6935114,-16.4025897
"Pilostigma Thonigilii/Monkey Bread",29.3643233,-16.9023175
"Pilostigma Thonigilii/Monkey Bread",29.3649494,-16.9009879
"Pilostigma Thonigilii/Monkey Bread",29.3959461,-16.9028171
"Pilostigma Thonigilii/Monkey Bread",29.3963687,-16.901115
"Pilostigma Thonigilii/Monkey Bread",29.3998492,-16.8988062
"Pilostigma Thonigilii/Monkey Bread",29.3999223,-16.8988832
"Pilostigma Thonigilii/Monkey Bread",29.4017408,-16.8997923
"Pilostigma Thonigilii/Monkey Bread",29.4037148,-16.9030327
"Pilostigma Thonigilii/Monkey Bread",29.4037418,-16.903031
"Pilostigma Thonigilii/Monkey Bread",29.4045523,-16.9053306
"Pilostigma Thonigilii/Monkey Bread",29.4043407,-16.9089416
"Pilostigma Thonigilii/Monkey Bread",29.4051365,-16.9114606
"Pilostigma Thonigilii/Monkey Bread",29.4036635,-16.9153906
"Pilostigma Thonigilii/Monkey Bread",29.4253688,-16.8596813
"Pilostigma Thonigilii/Monkey Bread",29.4095137,-16.9161335
"Pilostigma Thonigilii/Monkey Bread",29.4012259,-16.9087802
"Pilostigma Thonigilii/Monkey Bread",29.4011896,-16.9088041
"Red Mahogany",29.3948543,-16.9769449
"Trichilia Emetica",29.3956577,-16.9759361
"Pilostigma Thonigilii/Monkey Bread",29.395692,-16.9757574
"Pilostigma Thonigilii/Monkey Bread",29.3959505,-16.9755363
"Pilostigma Thonigilii/Monkey Bread",29.3961434,-16.9755905
"Munyii/Bechemia discolor",29.3962619,-16.9756201
"Munyii/Bechemia discolor",29.3967622,-16.9754455
"Pilostigma Thonigilii/Monkey Bread",29.3973545,-16.9753138
"Trichilia Emetica",29.3974184,-16.9747061
"Pilostigma Thonigilii/Monkey Bread",29.3972248,-16.9743448
"Trichilia Emetica",29.397143,-16.9734495
"Trichilia Emetica",29.397433,-16.9729653
"Trichilia Emetica",29.3975775,-16.9728569
"Trichilia Emetica",29.397783,-16.9727026
"Munyii/Bechemia discolor",29.3980038,-16.9723053
"Pilostigma Thonigilii/Monkey Bread",29.3981036,-16.9719357
"Munyii/Bechemia discolor",29.3977258,-16.9709415
"Pilostigma Thonigilii/Monkey Bread",29.3970965,-16.9699786
"Red Mahogany",29.3969178,-16.9696822
"Pilostigma Thonigilii/Monkey Bread",29.3969,-16.9696863
"Red Mahogany",29.3963235,-16.9690988
"Red Mahogany",29.3961265,-16.9684247
"Trichilia Emetica",29.3956108,-16.9681402
"Trichilia Emetica",29.3955972,-16.9681285
"Trichilia Emetica",29.3947577,-16.9667783
"Pilostigma Thonigilii/Monkey Bread",29.3951826,-16.9656811
"Pilostigma Thonigilii/Monkey Bread",29.3956258,-16.9627066
"Red Mahogany",29.3962124,-16.9611862
"Pilostigma Thonigilii/Monkey Bread",29.3977276,-16.9596593
"Trichilia Emetica",29.3995191,-16.9588256
"Pilostigma Thonigilii/Monkey Bread",29.3978961,-16.9432647
"Pilostigma Thonigilii/Monkey Bread",29.398156,-16.9435536
"Acacia Siebriana",29.398199,-16.9436056
"Acacia Polycantha",29.3984268,-16.943819
"Acacia Polycantha",29.3984688,-16.9439228
"Acacia Siebriana",29.3983474,-16.9444074
"Acacia Siebriana",29.3979681,-16.9443164
"Acacia Polycantha",29.3978372,-16.9437375
"Pilostigma Thonigilii/Monkey Bread",29.3987556,-16.9435753
"Pilostigma Thonigilii/Monkey Bread",29.3993953,-16.9438437
"Acacia Siebriana",29.4000774,-16.9441807
"Acacia Siebriana",29.4007291,-16.9445761
"Acacia Siebriana",29.4011571,-16.9449194
"Pilostigma Thonigilii/Monkey Bread",29.4019309,-16.9457356
"Munyii/Bechemia discolor",29.4020399,-16.945893
"Acacia Siebriana",29.4021206,-16.9463981
"Acacia Siebriana",29.402261,-16.9486626
"Acacia Polycantha",29.6016035,-16.4654425
"Acacia Polycantha",29.3736367,-16.76952
"Acacia Polycantha",29.299658,-16.7108058
