"species","metric","value"
"Acacia_Galpinii","threshold",0.761929038333333
"Acacia_Galpinii","AUC",0.922619905805459
"Acacia_Galpinii","omission.rate",0.113266799877331
"Acacia_Galpinii","sensitivity",0.92156862745098
"Acacia_Galpinii","specificity",0.850758636788049
"Acacia_Galpinii","prop.correct",0.886733200122669
"Acacia_Galpinii","Kappa",0.772764939309057
"Acacia_Galpinii","calibration",0.631255378246998
"Acacia_Polycantha","threshold",0.719801784166667
"Acacia_Polycantha","AUC",0.944441542740089
"Acacia_Polycantha","omission.rate",0.0792932387597056
"Acacia_Polycantha","sensitivity",0.929133858267717
"Acacia_Polycantha","specificity",0.911629513262115
"Acacia_Polycantha","prop.correct",0.920706761240294
"Acacia_Polycantha","Kappa",0.841132249898224
"Acacia_Polycantha","calibration",0.808064902601697
"Acacia_Siebriana","threshold",0.710588120833333
"Acacia_Siebriana","AUC",0.933564746859703
"Acacia_Siebriana","omission.rate",0.109216503371523
"Acacia_Siebriana","sensitivity",0.892361111111111
"Acacia_Siebriana","specificity",0.889179574486592
"Acacia_Siebriana","prop.correct",0.890783496628477
"Acacia_Siebriana","Kappa",0.781290420893122
"Acacia_Siebriana","calibration",0.737501499477726
"Fidebhia_Abida","threshold",0.706889698888889
"Fidebhia_Abida","AUC",0.972222222222222
"Fidebhia_Abida","omission.rate",0.0277777777777778
"Fidebhia_Abida","sensitivity",0.972222222222222
"Fidebhia_Abida","specificity",0.972222222222222
"Fidebhia_Abida","prop.correct",0.972222222222222
"Fidebhia_Abida","Kappa",0.944444444444445
"Fidebhia_Abida","calibration",0.617714436162354
"Kigelia_Africana","threshold",0.765952116111111
"Kigelia_Africana","AUC",0.882539682539683
"Kigelia_Africana","omission.rate",0.14792008757526
"Kigelia_Africana","sensitivity",0.892592592592593
"Kigelia_Africana","specificity",0.805555555555556
"Kigelia_Africana","prop.correct",0.85207991242474
"Kigelia_Africana","Kappa",0.701406695156695
"Kigelia_Africana","calibration",0.536342655682888
"Munyii_Bechemia_discolor","threshold",0.759352714583333
"Munyii_Bechemia_discolor","AUC",0.900020885547201
"Munyii_Bechemia_discolor","omission.rate",0.117576740671253
"Munyii_Bechemia_discolor","sensitivity",0.910714285714286
"Munyii_Bechemia_discolor","specificity",0.851437621832359
"Munyii_Bechemia_discolor","prop.correct",0.882423259328747
"Munyii_Bechemia_discolor","Kappa",0.763470901123129
"Munyii_Bechemia_discolor","calibration",0.696430167290065
"Pilostigma_Thonigilii_Monkey_Bread","threshold",0.70963418
"Pilostigma_Thonigilii_Monkey_Bread","AUC",0.951642807610419
"Pilostigma_Thonigilii_Monkey_Bread","omission.rate",0.0922088335287041
"Pilostigma_Thonigilii_Monkey_Bread","sensitivity",0.915723270440252
"Pilostigma_Thonigilii_Monkey_Bread","specificity",0.899387311087107
"Pilostigma_Thonigilii_Monkey_Bread","prop.correct",0.907791166471296
"Pilostigma_Thonigilii_Monkey_Bread","Kappa",0.815294028982052
"Pilostigma_Thonigilii_Monkey_Bread","calibration",0.83935700065937
"Red_Mahogany","threshold",0.870193526666667
"Red_Mahogany","AUC",0.942636423405654
"Red_Mahogany","omission.rate",0.0793162393162393
"Red_Mahogany","sensitivity",0.948717948717949
"Red_Mahogany","specificity",0.89031339031339
"Red_Mahogany","prop.correct",0.920683760683761
"Red_Mahogany","Kappa",0.840590162789632
"Red_Mahogany","calibration",0.660438451165238
"Trichilia_Emetica","threshold",0.817287722916667
"Trichilia_Emetica","AUC",0.900275482093664
"Trichilia_Emetica","omission.rate",0.128968253968254
"Trichilia_Emetica","sensitivity",0.878787878787879
"Trichilia_Emetica","specificity",0.864772727272727
"Trichilia_Emetica","prop.correct",0.871031746031746
"Trichilia_Emetica","Kappa",0.742658649272999
"Trichilia_Emetica","calibration",0.649528873490553
"Waterberry","threshold",0.721295662222222
"Waterberry","AUC",0.936354607202358
"Waterberry","omission.rate",0.10411715191127
"Waterberry","sensitivity",0.908496732026144
"Waterberry","specificity",0.883877995642702
"Waterberry","prop.correct",0.895882848088731
"Waterberry","Kappa",0.791720285174165
"Waterberry","calibration",0.638032749977361
